geneCluster	pan_category	COG1	COG2	COG3	COG4
GC00007493	cloud	X			
GC00007490	cloud	X			
GC00005366	shell	X			
GC00007491	cloud	X			
GC00007496	cloud	X			
GC00007497	cloud	X			
GC00007494	cloud	X			
GC00005367	shell	X			
GC00007495	cloud	S			
GC00007498	cloud	X			
GC00007499	cloud	S			
GC00001045	core	M			
GC00006723	cloud	X			
GC00006722	cloud	X			
GC00006721	cloud	X			
GC00006720	cloud	X			
GC00006727	cloud	X			
GC00006726	cloud	X			
GC00000915	core	O			
GC00006725	cloud	X			
GC00006724	cloud	X			
GC00005365	shell	X			
GC00006729	cloud	X			
GC00002970	shell	P			
GC00001239	core	S			
GC00006728	cloud	X			
GC00006851	cloud	S			
GC00006850	cloud	X			
GC00004820	shell	X			
GC00006853	cloud	X			
GC00005490	shell	X			
GC00006580	cloud	X			
GC00006855	cloud	X			
GC00004839	shell	X			
GC00006854	cloud	X			
GC00006585	cloud	X			
GC00004821	shell	X			
GC00006856	cloud	S			
GC00005491	shell	X			
GC00001305	core	S			
GC00004838	shell	X			
GC00001189	core	C			
GC00002507	shell	K			
GC00005360	shell	S			
GC00000967	core	S			
GC00005361	shell	X			
GC00003378	shell	X			
GC00001701	shell	S			
GC00001182	core	J			
GC00005498	shell	Q			
GC00005499	shell	X			
GC00000912	core	S			
GC00003377	shell	S			
GC00005368	shell	X			
GC00005339	shell	X			
GC00001098	core	S			
GC00005369	shell	X			
GC00003376	shell	X			
GC00002504	shell	L			
GC00001735	shell	H			
GC00006954	cloud	X			
GC00005338	shell	X			
GC00006955	cloud	X			
GC00004375	shell	X			
GC00006956	cloud	X			
GC00000892	core	P			
GC00006957	cloud	X			
GC00003375	shell	X			
GC00007445	cloud	X			
GC00006950	cloud	X			
GC00007444	cloud	X			
GC00005449	shell	X			
GC00006951	cloud	X			
GC00007447	cloud	X			
GC00006952	cloud	X			
GC00007446	cloud	X			
GC00006953	cloud	X			
GC00007441	cloud	X			
GC00006958	cloud	X			
GC00007440	cloud	X			
GC00006959	cloud	X			
GC00005448	shell	X			
GC00007443	cloud	X			
GC00006048	cloud	X			
